year,city,country,avg_temp,global_avg_temp
2001,Abuja,Nigeria,26.58,9.41
2002,Abuja,Nigeria,26.95,9.57
2003,Abuja,Nigeria,26.84,9.53
2004,Abuja,Nigeria,26.95,9.32
2005,Abuja,Nigeria,27.09,9.70
2006,Abuja,Nigeria,27.24,9.53
2007,Abuja,Nigeria,27.20,9.73
2008,Abuja,Nigeria,26.75,9.43
2009,Abuja,Nigeria,27.19,9.51
2010,Abuja,Nigeria,27.35,9.70
2011,Abuja,Nigeria,27.09,9.52
2012,Abuja,Nigeria,26.93,9.51
2013,Abuja,Nigeria,27.25,9.61
